nodes,edges,avg_degree,max_degree,density,diameter,radius,clustering,avg_shortest_path,degree_centrality_mean,degree_centrality_max,betweenness_mean,closeness_mean,centralization,avg_temporal_weight,diffusion_speed,branching_factor,leaf_ratio,label
32.0,31.0,1.9375,31.0,0.0625,2.0,1.0,0.0,1.9375,0.06249999999999999,1.0,0.03125,0.5235655737704918,1.0,1.470809558108545,0.8632166551820986,31.0,0.96875,rumor
29.0,28.0,1.9310344827586208,28.0,0.06896551724137931,2.0,1.0,0.0,1.9310344827586208,0.06896551724137932,1.0,0.034482758620689655,0.5260188087774295,1.0,1.3794844118239555,0.8275369506698271,28.0,0.9655172413793104,rumor
32.0,31.0,1.9375,5.0,0.0625,6.0,3.0,0.0,4.020161290322581,0.0625,0.16129032258064516,0.10067204301075268,0.2566707156515682,0.1053763440860215,1.3427730957188744,0.7598190016282415,3.1,0.6875,rumor
12.0,11.0,1.8333333333333333,5.0,0.16666666666666666,4.0,2.0,0.0,2.515151515151515,0.16666666666666666,0.4545454545454546,0.15151515151515152,0.4120618386243385,0.34545454545454546,1.3088649311422518,0.7547959905284007,3.6666666666666665,0.75,rumor
15.0,14.0,1.8666666666666667,5.0,0.13333333333333333,5.0,3.0,0.0,2.9523809523809526,0.13333333333333333,0.3571428571428571,0.1501831501831502,0.35172952962574294,0.2582417582417582,1.1914830377220265,0.6793064477747319,2.8,0.6666666666666666,rumor
30.0,29.0,1.9333333333333333,29.0,0.06666666666666667,2.0,1.0,0.0,1.9333333333333333,0.06666666666666668,1.0,0.03333333333333333,0.5251461988304095,1.0,1.4342862973458537,0.8870077564583305,29.0,0.9666666666666667,rumor
13.0,12.0,1.8461538461538463,5.0,0.15384615384615385,4.0,2.0,0.0,2.5128205128205128,0.1538461538461538,0.41666666666666663,0.13752913752913754,0.4123192596876807,0.3106060606060606,1.3074463430475194,0.7320635404546636,4.0,0.7692307692307693,rumor
24.0,23.0,1.9166666666666667,5.0,0.08333333333333333,5.0,3.0,0.0,3.431159420289855,0.08333333333333333,0.21739130434782608,0.11050724637681159,0.301572268558586,0.14624505928853757,1.37835996324128,0.7906741307773942,2.875,0.6666666666666666,rumor
25.0,24.0,1.92,5.0,0.08,5.0,3.0,0.0,3.466666666666667,0.07999999999999999,0.20833333333333331,0.1072463768115942,0.29774257532841786,0.1394927536231884,1.332449401317258,0.7585815096344715,3.0,0.68,rumor
22.0,21.0,1.9090909090909092,13.0,0.09090909090909091,4.0,2.0,0.0,2.463203463203463,0.09090909090909093,0.6190476190476191,0.07316017316017318,0.4189505568126534,0.5809523809523809,1.1824003047914295,0.6219776171367273,7.0,0.8636363636363636,rumor
31.0,30.0,1.935483870967742,30.0,0.06451612903225806,2.0,1.0,0.0,1.935483870967742,0.06451612903225809,1.0,0.03225806451612903,0.5243302351011482,1.0,1.3697386727024246,0.7930045222927244,30.0,0.967741935483871,rumor
23.0,22.0,1.9130434782608696,22.0,0.08695652173913043,2.0,1.0,0.0,1.9130434782608696,0.08695652173913042,1.0,0.043478260869565216,0.5328614762386251,1.0,1.2632969815409678,0.7437565136755978,22.0,0.9565217391304348,rumor
24.0,23.0,1.9166666666666667,23.0,0.08333333333333333,2.0,1.0,0.0,1.9166666666666667,0.08333333333333333,1.0,0.041666666666666664,0.5314814814814814,1.0,1.329713874059592,0.766735209022554,23.0,0.9583333333333334,rumor
15.0,14.0,1.8666666666666667,5.0,0.13333333333333333,4.0,2.0,0.0,2.8380952380952382,0.13333333333333333,0.3571428571428571,0.14139194139194142,0.36458785529715754,0.2582417582417582,1.3898937145533807,0.7691415765320693,3.5,0.7333333333333333,rumor
33.0,32.0,1.9393939393939394,11.0,0.06060606060606061,4.0,2.0,0.0,3.0303030303030303,0.06060606060606061,0.34375,0.06549364613880743,0.33821205251293956,0.3014112903225806,1.1648027762542221,0.6514554199829693,6.4,0.8484848484848485,rumor
34.0,33.0,1.9411764705882353,5.0,0.058823529411764705,6.0,3.0,0.0,4.0,0.0588235294117647,0.15151515151515152,0.09375000000000001,0.25710229364291837,0.09848484848484848,1.3339184946140332,0.7756303567943247,3.0,0.6764705882352942,rumor
25.0,24.0,1.92,10.0,0.08,4.0,2.0,0.0,2.78,0.08,0.41666666666666663,0.07739130434782608,0.3695395559242527,0.3659420289855072,1.1692584403281459,0.650877458435927,6.0,0.84,rumor
14.0,13.0,1.8571428571428572,5.0,0.14285714285714285,5.0,3.0,0.0,3.021978021978022,0.14285714285714285,0.38461538461538464,0.1684981684981685,0.34467087296451115,0.2820512820512821,1.2014998693699737,0.6772550184352155,2.6,0.6428571428571429,rumor
17.0,16.0,1.8823529411764706,9.0,0.11764705882352941,4.0,2.0,0.0,2.6176470588235294,0.11764705882352941,0.5625,0.10784313725490195,0.39370406560557036,0.5041666666666667,1.2501434852425768,0.6840090981741994,5.333333333333333,0.8235294117647058,rumor
23.0,22.0,1.9130434782608696,5.0,0.08695652173913043,5.0,3.0,0.0,3.383399209486166,0.08695652173913043,0.2272727272727273,0.11349520045172219,0.3063475297892371,0.1536796536796537,1.2295660932098587,0.7339956632282473,2.75,0.6521739130434783,rumor
20.0,19.0,1.9,5.0,0.1,6.0,3.0,0.0,3.7526315789473683,0.09999999999999998,0.2631578947368421,0.1529239766081871,0.27503412583836984,0.18128654970760233,1.2820797860340931,0.7639359851913647,2.7142857142857144,0.65,rumor
15.0,14.0,1.8666666666666667,5.0,0.13333333333333333,5.0,3.0,0.0,2.9904761904761905,0.13333333333333333,0.3571428571428571,0.15311355311355312,0.3466776290375966,0.2582417582417582,1.398138287712672,0.8022058931614421,2.8,0.6666666666666666,rumor
13.0,12.0,1.8461538461538463,4.0,0.15384615384615385,4.0,2.0,0.0,2.769230769230769,0.1538461538461538,0.3333333333333333,0.16083916083916083,0.3749971442279136,0.21212121212121213,1.6516722681497635,1.0130127787420626,3.0,0.6923076923076923,rumor
30.0,29.0,1.9333333333333333,5.0,0.06666666666666667,6.0,3.0,0.0,3.7701149425287355,0.06666666666666668,0.1724137931034483,0.09893267651888342,0.27411702152168854,0.11330049261083744,1.3340729040165622,0.7888173396274147,2.9,0.6666666666666666,rumor
19.0,18.0,1.894736842105263,8.0,0.10526315789473684,4.0,2.0,0.0,2.608187134502924,0.10526315789473684,0.4444444444444444,0.09459924320605434,0.3944165834394024,0.3790849673202614,1.2393960493061695,0.6410944030669966,6.0,0.8421052631578947,rumor
19.0,18.0,1.894736842105263,5.0,0.10526315789473684,5.0,3.0,0.0,3.0760233918128654,0.10526315789473684,0.2777777777777778,0.1221190230478156,0.3370055855774034,0.19281045751633988,1.2484340754032053,0.7054668333534733,3.0,0.6842105263157895,rumor
33.0,32.0,1.9393939393939394,11.0,0.06060606060606061,4.0,2.0,0.0,2.962121212121212,0.06060606060606061,0.34375,0.06329423264907136,0.3468996434741077,0.3014112903225806,1.1842961400806313,0.679269008339061,6.4,0.8484848484848485,rumor
12.0,11.0,1.8333333333333333,7.0,0.16666666666666666,4.0,2.0,0.0,2.515151515151515,0.16666666666666663,0.6363636363636364,0.15151515151515152,0.41226462807345166,0.5636363636363636,1.1801555094692053,0.624181655374699,3.6666666666666665,0.75,rumor
35.0,34.0,1.9428571428571428,13.0,0.05714285714285714,4.0,2.0,0.0,2.907563025210084,0.057142857142857134,0.38235294117647056,0.057804940157881325,0.35334745028355086,0.3449197860962566,1.1768643858410122,0.6498545343995639,6.8,0.8571428571428571,rumor
30.0,29.0,1.9333333333333333,29.0,0.06666666666666667,2.0,1.0,0.0,1.9333333333333333,0.06666666666666668,1.0,0.03333333333333333,0.5251461988304095,1.0,1.3298697789110385,0.7680228176735937,29.0,0.9666666666666667,rumor
13.0,12.0,1.8461538461538463,5.0,0.15384615384615385,4.0,2.0,0.0,2.5641025641025643,0.1538461538461538,0.41666666666666663,0.1421911421911422,0.4031693246939513,0.3106060606060606,1.3326701392712719,0.7706717276059564,4.0,0.7692307692307693,rumor
32.0,31.0,1.9375,5.0,0.0625,7.0,4.0,0.0,4.108870967741935,0.0625,0.16129032258064516,0.10362903225806452,0.25073808553175353,0.1053763440860215,1.2529739571425444,0.705385794561894,2.8181818181818183,0.65625,rumor
32.0,31.0,1.9375,10.0,0.0625,4.0,2.0,0.0,2.963709677419355,0.062499999999999986,0.3225806451612903,0.06545698924731183,0.3465654204142816,0.27741935483870966,1.3099773917937434,0.6940454365155052,6.2,0.84375,rumor
19.0,18.0,1.894736842105263,18.0,0.10526315789473684,2.0,1.0,0.0,1.894736842105263,0.10526315789473684,1.0,0.05263157894736842,0.5398496240601504,1.0,1.2349526143513976,0.7116013231474958,18.0,0.9473684210526315,rumor
23.0,22.0,1.9130434782608696,22.0,0.08695652173913043,2.0,1.0,0.0,1.9130434782608696,0.08695652173913042,1.0,0.043478260869565216,0.5328614762386251,1.0,1.4320924755847158,0.8544975950671047,22.0,0.9565217391304348,rumor
15.0,14.0,1.8666666666666667,6.0,0.13333333333333333,4.0,2.0,0.0,2.5904761904761906,0.13333333333333333,0.42857142857142855,0.12234432234432235,0.3983032873806999,0.3406593406593406,1.2588267167025056,0.7254740791208018,4.666666666666667,0.8,rumor
19.0,18.0,1.894736842105263,9.0,0.10526315789473684,4.0,2.0,0.0,2.6666666666666665,0.10526315789473684,0.5,0.09803921568627451,0.38510360623075557,0.4411764705882353,1.3464921413072408,0.7288457711580996,6.0,0.8421052631578947,rumor
28.0,27.0,1.9285714285714286,27.0,0.07142857142857142,2.0,1.0,0.0,1.9285714285714286,0.07142857142857142,1.0,0.03571428571428571,0.526954177897574,1.0,1.3731257752514183,0.8290657568846317,27.0,0.9642857142857143,rumor
12.0,11.0,1.8333333333333333,11.0,0.16666666666666666,2.0,1.0,0.0,1.8333333333333333,0.16666666666666663,1.0,0.08333333333333333,0.5634920634920634,1.0,1.467790075017595,0.9031539268960586,11.0,0.9166666666666666,rumor
31.0,30.0,1.935483870967742,30.0,0.06451612903225806,2.0,1.0,0.0,1.935483870967742,0.06451612903225809,1.0,0.03225806451612903,0.5243302351011482,1.0,1.4385665047215235,0.8826743744664912,30.0,0.967741935483871,rumor
14.0,13.0,1.8571428571428572,6.0,0.14285714285714285,4.0,2.0,0.0,2.5054945054945055,0.14285714285714285,0.46153846153846156,0.12545787545787546,0.4133876357560568,0.3717948717948718,1.3074547857372782,0.7098507853735723,4.333333333333333,0.7857142857142857,rumor
30.0,29.0,1.9333333333333333,12.0,0.06666666666666667,4.0,2.0,0.0,2.8045977011494254,0.06666666666666668,0.41379310344827586,0.06444991789819375,0.366294143459729,0.37192118226600984,1.2372686427383655,0.7163997055127427,7.25,0.8666666666666667,rumor
22.0,21.0,1.9090909090909092,5.0,0.09090909090909091,6.0,3.0,0.0,3.70995670995671,0.09090909090909091,0.23809523809523808,0.1354978354978355,0.27799627651352404,0.1619047619047619,1.3059771581436386,0.7379908653716647,3.0,0.6818181818181818,rumor
16.0,15.0,1.875,7.0,0.125,4.0,2.0,0.0,2.65,0.125,0.4666666666666667,0.11785714285714287,0.38812749750249753,0.3904761904761905,1.2831078358089656,0.7120868070200282,5.0,0.8125,rumor
16.0,15.0,1.875,15.0,0.125,2.0,1.0,0.0,1.875,0.125,1.0,0.0625,0.5474137931034484,1.0,1.3894511359800825,0.785253989090111,15.0,0.9375,rumor
17.0,16.0,1.8823529411764706,5.0,0.11764705882352941,5.0,3.0,0.0,3.176470588235294,0.11764705882352941,0.3125,0.1450980392156863,0.3265350414751347,0.22083333333333333,1.2367528699176855,0.7168985033841027,2.6666666666666665,0.6470588235294118,rumor
17.0,16.0,1.8823529411764706,16.0,0.11764705882352941,2.0,1.0,0.0,1.8823529411764706,0.11764705882352941,1.0,0.058823529411764705,0.5445920303605313,1.0,1.300022530717138,0.7538285161914768,16.0,0.9411764705882353,rumor
19.0,18.0,1.894736842105263,9.0,0.10526315789473684,4.0,2.0,0.0,2.56140350877193,0.10526315789473684,0.5,0.09184726522187822,0.40202155803102757,0.4411764705882353,1.156884424697351,0.6027592799810907,6.0,0.8421052631578947,rumor
21.0,20.0,1.9047619047619047,20.0,0.09523809523809523,2.0,1.0,0.0,1.9047619047619047,0.09523809523809523,1.0,0.047619047619047616,0.536019536019536,1.0,1.4995490936831453,0.9064144206818876,20.0,0.9523809523809523,rumor
28.0,27.0,1.9285714285714286,5.0,0.07142857142857142,6.0,3.0,0.0,3.7830687830687832,0.07142857142857141,0.18518518518518517,0.10704110704110706,0.27286919475653365,0.1225071225071225,1.3219778551811363,0.7364372961111071,3.0,0.6785714285714286,rumor
